SDSS_name,A1,env_label
SDSS J142901.14+244148.1,0.11,F
SDSS J030144.42-003533.5,0.18,
SDSS J122027.61+311019.6,0.2,Sh
SDSS J130422.99+473546.6,0.26,F
SDSS J160924.15+330000.8,0.28,
SDSS J140741.72+451501.8,0.23,F
SDSS J095414.14+003817.9,0.37,Sh
SDSS J020327.92+140149.7,0.17,
SDSS J212718.34+043321.7,0.15,
SDSS J124312.23-023003.2,0.16,
SDSS J103019.50+394320.0,0.34,F
SDSS J121835.23+115213.4,0.19,F
SDSS J100242.47+674349.7,0.22,
SDSS J081454.75+195814.6,0.21,
SDSS J113959.72+673259.2,0.14,
SDSS J142411.23+235448.9,0.16,Sh
SDSS J113653.17+210015.1,0.1,F
SDSS J153908.62+015919.6,0.22,Sh
SDSS J160618.97+194547.6,0.19,
SDSS J102944.01+271515.7,0.14,F
SDSS J102007.86+250756.9,0.1,F
SDSS J115334.58+115743.2,0.22,F
SDSS J141935.29+360826.4,0.31,Sh
SDSS J154544.43+070834.3,0.18,
SDSS J150031.88+113153.6,0.32,F
SDSS J121936.84+052352.1,0.18,Sh
SDSS J143227.42+272538.7,0.27,F
SDSS J083605.66+444337.9,0.2,C
SDSS J141929.31+544429.7,0.17,Sh
SDSS J113808.00+111146.9,0.19,Sh
SDSS J133108.88+123303.1,0.15,F
SDSS J154924.21+162717.0,0.25,
SDSS J214809.84+051101.9,0.25,
SDSS J123306.32+204519.5,0.16,F
SDSS J150952.89+131522.4,0.26,F
SDSS J083603.62+350421.4,0.18,Sh
SDSS J075422.22+270031.6,0.25,
SDSS J123351.34+080128.8,0.18,F
SDSS J005640.40-002311.6,0.11,
SDSS J140436.76+291159.8,0.13,Sh
SDSS J160047.18+180442.0,0.05,
SDSS J110245.50+251134.7,0.39,Sh
SDSS J112838.59+272349.2,0.13,C
SDSS J093346.31+541852.5,0.29,F
SDSS J103759.26+615310.8,0.1,
SDSS J104347.25+003129.5,0.18,F
SDSS J235454.16-101717.0,0.16,
SDSS J114652.78+654328.0,0.09,
SDSS J110725.92+454947.5,0.07,C
SDSS J005332.74+153645.0,0.2,
SDSS J090754.95+031621.7,0.13,F
SDSS J110138.79+012448.8,0.14,Sh
SDSS J024259.63-090129.1,0.15,
SDSS J170833.32+314820.3,0.13,
SDSS J115140.55+120212.1,0.19,C
SDSS J214204.05+111019.9,0.17,
SDSS J170653.21+315944.5,0.33,
SDSS J231957.43-095430.9,0.18,
SDSS J123332.13+590449.6,0.42,F
SDSS J120247.12-020920.3,0.14,
SDSS J154203.33+024147.1,0.19,
SDSS J094706.75+541842.7,0.23,F
SDSS J074907.39+295527.7,0.25,
SDSS J085256.63+422454.3,0.1,F
SDSS J120549.84+155444.2,0.15,F
SDSS J112556.38+641953.1,0.22,
SDSS J152237.31+022712.9,0.14,C
SDSS J005407.20-105030.8,0.15,
SDSS J002442.69+144928.5,0.21,
SDSS J142026.48+351119.6,0.3,Sh
SDSS J095026.07+013457.0,0.11,F
SDSS J143543.53+445946.0,0.18,F
SDSS J143143.56-015929.8,0.18,
SDSS J083508.71+294233.4,0.14,F
SDSS J113459.86+154106.9,0.18,F
SDSS J163106.12+255719.5,0.17,
SDSS J111007.93+071712.4,0.12,Sh
SDSS J150930.08+044201.3,0.1,C
SDSS J144206.33+031950.7,0.29,F
SDSS J094900.73+041811.2,0.14,Sh
SDSS J151714.19+405643.5,0.13,F
SDSS J081104.75+061754.9,0.11,
SDSS J093236.58+095025.9,0.12,F
SDSS J124447.32+563058.0,0.22,F
SDSS J125646.45+074747.1,0.22,Sh
SDSS J093119.54-002039.9,0.26,
SDSS J085845.08+460232.6,0.26,F
SDSS J081403.67+032256.5,0.14,
SDSS J165510.57+230140.9,0.14,
SDSS J133613.35+111419.6,0.18,Sh
SDSS J113252.87+014850.4,0.15,F
SDSS J212851.18-010412.4,0.14,
SDSS J082806.12+550555.2,0.19,F
SDSS J084422.54+591738.7,0.11,F
SDSS J122242.38+053810.7,0.29,F
SDSS J140256.31+244841.4,0.12,F
SDSS J105954.73+430851.6,0.17,F
SDSS J131242.38+044346.8,0.24,F
SDSS J122157.29+421846.1,0.13,C
SDSS J160937.51+280306.6,0.21,
SDSS J115502.11+320428.7,0.29,F
SDSS J233906.24-002615.0,0.16,
SDSS J082010.71+154031.7,0.19,F
SDSS J235153.19+134144.1,0.13,
SDSS J123932.48+152555.2,0.24,F
SDSS J163147.69+213923.5,0.13,
SDSS J130916.08+292203.5,0.28,F
SDSS J135841.82+200007.5,0.29,Sh
SDSS J124807.26+185207.8,0.2,F
SDSS J135843.33+144545.4,0.22,F
SDSS J104220.09+350635.1,0.12,Sh
SDSS J165411.52+300709.8,0.2,
SDSS J093731.01+325029.1,0.16,Sh
SDSS J104327.22+291004.4,0.14,F
SDSS J111633.04+005542.3,0.15,F
SDSS J134813.32+544750.3,0.23,V
SDSS J161536.91+280930.9,0.11,
SDSS J080028.51+210810.5,0.14,
SDSS J122102.85+395206.3,0.42,F
SDSS J145431.21+232716.2,0.19,Sh
SDSS J112342.13+283532.6,0.16,F
SDSS J154634.24+331323.6,0.17,
SDSS J144958.76+523634.7,0.14,V
SDSS J100533.95+151701.7,0.13,V
SDSS J023448.44-074100.9,0.09,
SDSS J140825.29+195008.8,0.15,Sh
SDSS J232923.56+141215.4,0.23,
SDSS J113344.63+212248.1,0.16,F
SDSS J105944.54+035906.2,0.2,F
SDSS J122238.91+292618.6,0.1,F
SDSS J163957.61+435928.1,0.34,
SDSS J041414.58+243939.0,0.22,
SDSS J162326.30+003321.0,0.09,
SDSS J095858.86+452935.3,0.12,F
SDSS J122154.15+494212.2,0.18,Sh
SDSS J085747.31-001159.8,0.12,
SDSS J151858.75+030026.2,0.15,F
SDSS J163349.34+331940.2,0.2,
SDSS J034259.17-065545.5,0.11,
SDSS J095501.78+005810.2,0.18,C
SDSS J173236.03+565042.9,0.19,
SDSS J173008.45+593154.6,0.12,
SDSS J131002.69+112706.8,0.22,F
SDSS J113943.47+423016.4,0.16,F
SDSS J233224.30+142810.6,0.45,
