SDSS_name,objID,L_pred
SDSS J132008.30+302700.3,1237665328784277555,0.52
SDSS J134459.55+292535.8,1237665430241542292,0.66
SDSS J125206.87+270134.7,1237667322723237969,0.82
SDSS J122024.53+274907.6,1237667443507986562,0.84
SDSS J134456.35+201638.0,1237667781769691316,0.77
SDSS J161544.61+315750.2,1237662504295923869,0.79
SDSS J121036.76+345723.6,1237665024904265788,0.81
SDSS J142911.68+300438.0,1237665101675364544,0.84
SDSS J132549.12+342927.8,1237665129086714019,0.82
SDSS J160450.67+200446.2,1237665373870751774,0.62
SDSS J150438.05+191526.2,1237665566075060413,0.61
SDSS J120512.77+284654.7,1237667209991159899,0.83
SDSS J122018.54+275513.3,1237667323793899659,0.55
SDSS J152702.89+153241.0,1237667782317375541,0.75
SDSS J121034.68+255541.5,1237667912739782777,0.72
SDSS J012539.72+011041.1,1237678617427181717,0.55
SDSS J032139.98-063808.2,1237649962992205998,0.7
SDSS J152712.09+382416.1,1237662473152233713,0.7
SDSS J230558.94+005213.8,1237663278458732677,0.74
SDSS J161411.21+191853.7,1237665230521958457,0.76
SDSS J075913.15+441912.6,1237651495220543666,0.65
SDSS J144753.23+345845.3,1237662305118585024,0.83
SDSS J163640.64+232136.6,1237662641198334122,0.55
SDSS J160806.49+252906.7,1237662663754645941,0.57
SDSS J093953.68+110214.3,1237664105239544021,0.52
SDSS J102852.02+264734.6,1237667211055530118,0.64
SDSS J133543.77+272433.8,1237667444589002885,0.8
SDSS J215126.93+052620.2,1237669697295745341,0.75
SDSS J151006.40+562221.3,1237671938723479615,0.74
SDSS J102009.63+131946.7,1237664106317676830,0.83
SDSS J093639.20+011501.2,1237651752920875233,0.6
SDSS J160601.92+180645.1,1237665429182677209,0.67
SDSS J105535.29+232505.1,1237667550344708291,0.72
SDSS J080343.91+100306.2,1237667730730582135,0.62
SDSS J110308.58+210445.4,1237667782290047076,0.61
SDSS J112533.36+224908.4,1237667783903019099,0.73
SDSS J114941.43+131440.5,1237661813882224757,0.69
SDSS J143758.81+382130.8,1237662196148666566,0.79
SDSS J135759.09+104243.3,1237662198275702956,0.84
SDSS J131153.11+511224.7,1237662301356294316,0.51
SDSS J144435.66+372856.8,1237662307802218747,0.77
SDSS J164127.18+264137.9,1237662474234495243,0.53
SDSS J080203.39+550056.6,1237663917877690653,0.83
SDSS J113656.85+153144.0,1237664291534536707,0.66
SDSS J145448.54+254732.9,1237665178988118127,0.56
SDSS J080100.69+420619.1,1237673705579938031,0.54
SDSS J120831.31+000811.3,1237674650466517141,0.58
SDSS J105834.10+454845.0,1237661357538279499,0.8
SDSS J113905.88+431450.6,1237662196133855313,0.62
SDSS J151335.15+103054.1,1237662636370362706,0.57
SDSS J111529.32+351056.0,1237665026509963353,0.77
SDSS J154932.54+203842.5,1237665535466733732,0.61
SDSS J120323.56+200119.5,1237668298202415133,0.78
SDSS J081657.56+203044.1,1237673808656400399,0.74
SDSS J120851.62+090753.9,1237674597852053622,0.71
SDSS J121235.47+162551.3,1237668588648530063,0.84
SDSS J114331.43+224331.5,1237667783367917730,0.77
SDSS J090843.17+131400.4,1237671262811062391,0.5
SDSS J135300.93+145709.0,1237668348133179545,0.56
SDSS J134147.78+073701.1,1237661972268187772,0.78
SDSS J105139.89+373137.1,1237662224596795449,0.62
SDSS J143926.03+130108.2,1237662530605416520,0.61
SDSS J155944.37+292615.6,1237662619724873916,0.55
SDSS J120113.91+094339.5,1237658492279455897,0.81
SDSS J120907.87+370639.3,1237664337718083600,0.83
SDSS J133944.17+331444.6,1237665024912326781,0.6
SDSS J153339.48+241827.8,1237665101682114802,0.66
SDSS J093848.87+074627.0,1237658492800925787,0.6
SDSS J021754.85+001506.4,1237666408457502867,0.8
SDSS J124557.87+300312.7,1237667254555115706,0.7
SDSS J134145.21+270016.9,1237667324338700363,0.62
SDSS J101939.52+211717.2,1237667536935583944,0.78
SDSS J091154.73+645114.9,1237663916809650291,0.6
SDSS J113701.88+153414.0,1237664291534536771,0.6
SDSS J133300.04+372929.5,1237664293686083662,0.84
SDSS J105010.53+380952.5,1237664668974841994,0.8
SDSS J114118.12+354351.0,1237665026512257137,0.64
SDSS J105053.17+321146.6,1237665127462011004,0.8
SDSS J155751.53+461824.4,1237659326562369698,0.83
SDSS J115458.53+261209.0,1237667321643925630,0.83
SDSS J120811.95+254525.6,1237667448339300550,0.74
SDSS J093201.32+094844.8,1237660670886478059,0.51
SDSS J110056.26+204108.9,1237667734500802715,0.74
SDSS J110052.80+192934.1,1237668294445105287,0.51
SDSS J113121.33+261744.7,1237667322178502772,0.82
SDSS J112853.81+272234.1,1237667323788918960,0.76
SDSS J093000.13+212335.5,1237667430631538970,0.51
SDSS J111233.15+195025.9,1237667916487131304,0.8
SDSS J015107.90-094731.3,1237670955715919987,0.72
SDSS J093216.39+120537.9,1237671122690310376,0.59
SDSS J134926.93+210811.6,1237667782843826333,0.83
SDSS J112424.92+233854.8,1237667910587711654,0.79
SDSS J140340.85+154808.8,1237668314847445076,0.57
SDSS J151548.93+121310.7,1237668331494900019,0.6
SDSS J081913.06+204526.9,1237674371291218000,0.76
SDSS J135559.08+172957.2,1237668270827503758,0.82
SDSS J141408.90+031330.9,1237651821097713831,0.68
SDSS J104402.20+043946.8,1237654601568223353,0.83
SDSS J101817.86+032055.7,1237654604249563301,0.58
SDSS J111307.90+050422.2,1237654605866205219,0.54
SDSS J093352.12+465149.3,1237657590311616620,0.5
SDSS J083626.29+043914.6,1237658300058107973,0.67
SDSS J025622.03-000912.0,1237660339090030669,0.72
SDSS J014907.18+130538.9,1237649918970953920,0.58
SDSS J143541.91+022850.6,1237651736847712463,0.68
SDSS J114328.67+032319.2,1237651755082252421,0.78
SDSS J011823.44+133728.4,1237653650769510570,0.52
SDSS J093626.30-003416.9,1237648720678158635,0.82
SDSS J150422.46+590731.4,1237651252044497024,0.52
SDSS J141441.25+653836.1,1237651539790987493,0.79
SDSS J111114.93+592923.0,1237655108911038502,0.74
SDSS J152505.12+045422.6,1237655743484723566,0.74
SDSS J082336.80+390629.1,1237657608035762347,0.68
SDSS J143211.47+454149.5,1237658205595041863,0.58
SDSS J104109.75+064912.2,1237658299534802987,0.63
SDSS J162527.78+393307.3,1237659325492298071,0.82
SDSS J081732.46+282127.7,1237660343927504966,0.76
SDSS J115746.06+141750.6,1237661068724011075,0.78
SDSS J172029.58+580454.7,1237651213361348614,0.53
SDSS J093551.59+612111.3,1237651272966275163,0.69
SDSS J080712.41+395150.0,1237654654173118794,0.63
SDSS J143908.48+052112.2,1237654881812873246,0.6
SDSS J161639.25+402026.8,1237659324417835183,0.76
SDSS J110927.45+094632.3,1237660614509461572,0.56
SDSS J165212.99+231827.6,1237661465457787290,0.82
SDSS J134455.96+610040.8,1237655464846884953,0.62
SDSS J232437.77+145309.8,1237652943708422377,0.81
SDSS J134511.31+612724.7,1237655465383690328,0.74
SDSS J140531.43-012202.4,1237655495983038619,0.77
SDSS J150309.41-021217.2,1237655691941839043,0.66
SDSS J113131.60+512438.2,1237657856071106627,0.58
SDSS J142245.61+463248.6,1237658205594255392,0.59
SDSS J105642.40+071335.5,1237658424092524797,0.82
SDSS J151843.83+041735.1,1237655742410326297,0.74
SDSS J151529.76+050047.2,1237655743483674960,0.53
SDSS J101024.60+395525.4,1237660772883365911,0.75
SDSS J123337.97+490716.4,1237661150302699562,0.5
SDSS J225756.44-093457.2,1237652599575281730,0.72
SDSS J142747.32+045444.9,1237654881274757162,0.55
SDSS J153514.26+573053.1,1237654948911644830,0.57
SDSS J092530.98+453157.8,1237657242433814670,0.72
SDSS J090842.61+444838.3,1237657402419052703,0.83
SDSS J080920.10+280044.7,1237657877541879835,0.83
SDSS J151127.30+410523.9,1237658204525035558,0.5
SDSS J031049.35-002125.5,1237660240312664218,0.51
SDSS J120250.68+483810.3,1237661435917762567,0.8
SDSS J153751.65+032713.3,1237651822717436237,0.59
SDSS J232824.02-094223.9,1237652900744724585,0.84
SDSS J112359.63+024130.7,1237654030328332452,0.75
SDSS J120952.62+564441.3,1237661352169832505,0.84
SDSS J132921.12+112011.5,1237661949188243597,0.71
SDSS J093649.41+575931.5,1237651190825353337,0.68
SDSS J122349.33+012230.4,1237651752402288702,0.81
SDSS J113926.82+032816.0,1237651755081793661,0.82
SDSS J110602.35+042545.7,1237654601033711677,0.81
SDSS J120229.19+105352.2,1237658493890265125,0.81
SDSS J103152.86+133105.4,1237661069788643333,0.58
SDSS J114950.92+472640.8,1237661357542146179,0.64
SDSS J141340.03+435159.7,1237661361838424237,0.84
SDSS J124825.36+541205.0,1237658916921147547,0.67
SDSS J162428.94+322938.1,1237662302447337614,0.84
SDSS J074709.23+302919.6,1237657608030781456,0.63
SDSS J141353.52+455213.7,1237658203983118496,0.69
SDSS J104551.42+094321.4,1237658493345071231,0.56
SDSS J103504.84+463341.2,1237658612514619419,0.73
SDSS J165525.91+251522.3,1237662500013605127,0.58
SDSS J131759.57-001743.2,1237648704047284273,0.52
SDSS J105804.07+060247.3,1237658422482043003,0.56
SDSS J165103.66+303949.0,1237661387083940213,0.79
SDSS J130644.04+433918.8,1237661871870378183,0.75
SDSS J151308.26+042949.6,1237662266463682623,0.57
SDSS J151308.55+054534.2,1237662268074230050,0.81
SDSS J205119.81-071857.9,1237652933494309184,0.67
SDSS J091129.87+024141.4,1237654600484323530,0.53
SDSS J075935.76+441824.2,1237651271882834162,0.81
SDSS J091521.61+413706.1,1237657628978053223,0.76
SDSS J121648.86+472726.6,1237661434308132898,0.62
SDSS J135823.51+423647.7,1237661851477213305,0.63
SDSS J141103.74+485756.2,1237662301897425029,0.77
SDSS J140405.87+331914.5,1237662683070333094,0.77
SDSS J075106.23+174025.6,1237664092893152195,0.58
SDSS J120739.01+143303.1,1237664289927135287,0.72
SDSS J151220.62+092059.7,1237662199357505705,0.65
SDSS J162156.18+311802.0,1237662300836921667,0.76
SDSS J133047.95+380645.0,1237664294222692481,0.73
SDSS J080611.75+205949.0,1237664668957671769,0.67
SDSS J103324.17+310223.9,1237665015236067482,0.75
SDSS J082550.67+181000.1,1237667142324060416,0.72
SDSS J122203.39+281109.5,1237667444045053990,0.76
SDSS J080613.65+114735.8,1237667537994776739,0.68
SDSS J143212.53+455459.5,1237661212581625874,0.75
SDSS J115258.88+433510.9,1237661871327674593,0.67
SDSS J154803.50+055620.4,1237662263252681154,0.83
SDSS J145053.14+080634.8,1237662263783260319,0.58
SDSS J221159.27-001511.2,1237663478721741185,0.84
SDSS J013317.47-003930.8,1237663783133839546,0.67
SDSS J160130.06+164520.3,1237665532260057435,0.74
SDSS J113153.60+282130.5,1237667209987948561,0.81
SDSS J131054.09+563711.7,1237661417134817478,0.84
SDSS J111719.35+410020.4,1237661966888075345,0.56
SDSS J035105.12-001337.3,1237663238205472976,0.84
SDSS J153300.47+253407.1,1237665129099362421,0.71
SDSS J160937.41+202457.8,1237665231058174039,0.75
SDSS J020642.51-005137.6,1237666406845644947,0.63
SDSS J155153.03+255841.9,1237662224087580955,0.71
SDSS J213057.29+114548.6,1237656496171516003,0.79
SDSS J161322.64+070219.9,1237662635840176553,0.76
SDSS J160414.89+214550.4,1237662695964999963,0.57
SDSS J163149.10+202441.6,1237662698652106771,0.72
SDSS J140542.87+093044.2,1237662264315215936,0.75
