SDSS_name,objID,S_pred
SDSS J142857.00+253312.2,1237665428098580681,0.73
SDSS J163808.22+282207.2,1237662301375758736,0.55
SDSS J170251.86+222324.6,1237662301379363348,0.66
SDSS J131023.89+332009.7,1237665023835963469,0.61
SDSS J233440.81-002537.7,1237666407365935110,0.77
SDSS J105736.34+082020.9,1237671930135445714,0.55
SDSS J002419.09-013817.5,1237679436131729553,0.81
SDSS J155847.40+415617.1,1237661387077189812,0.55
SDSS J033957.86-061215.1,1237649962994237459,0.51
SDSS J104904.45+363829.6,1237662223522726020,0.73
SDSS J123711.62+090205.8,1237662236394520690,0.64
SDSS J084032.73+593920.3,1237663786885775559,0.77
SDSS J135547.69+142520.9,1237664291549151477,0.51
SDSS J090945.20+193507.0,1237667430629310764,0.72
SDSS J113645.52+214236.2,1237667734504472861,0.63
SDSS J114222.21+160541.1,1237668494171111501,0.73
SDSS J225222.62+010533.2,1237678617410404603,0.67
SDSS J125752.41+121548.2,1237661949721772048,0.67
SDSS J161220.36+230007.2,1237662224090005796,0.76
SDSS J154038.86+072615.3,1237662264862441723,0.8
SDSS J081615.37+573149.9,1237663788494815378,0.54
SDSS J133542.39+131951.2,1237664289399636012,0.77
SDSS J035504.74-061316.8,1237652900236755041,0.66
SDSS J081613.33+161956.0,1237667107425419678,0.55
SDSS J102145.25+224100.9,1237667538546524347,0.73
SDSS J115212.57+165106.7,1237668623546450017,0.67
SDSS J145639.74+062753.0,1237662268609265885,0.61
SDSS J082903.30+544121.3,1237663546903363707,0.64
SDSS J133101.60+373346.4,1237664293685886992,0.82
SDSS J143027.21+304549.3,1237665102749106308,0.68
SDSS J234723.51-104651.3,1237653440303202404,0.53
SDSS J162126.75+142827.0,1237665549439795506,0.81
SDSS J233743.26-003104.3,1237666407366262830,0.73
SDSS J122902.62+273825.8,1237667323257880747,0.55
SDSS J143023.03+165619.6,1237668271904850066,0.84
SDSS J113113.44+403911.3,1237661965815447629,0.64
SDSS J154548.06+301208.7,1237662341084610920,0.84
SDSS J073934.66+492122.3,1237663918411677769,0.55
SDSS J084306.12+253220.6,1237664667888123987,0.82
SDSS J122324.14+314757.3,1237665329315774586,0.62
SDSS J113120.44+281204.4,1237667209987883063,0.82
SDSS J120339.67+480144.9,1237661358080065729,0.78
SDSS J133110.05+112602.2,1237661949188440212,0.57
SDSS J111041.60+073529.7,1237661972251803763,0.69
SDSS J165554.36+245849.0,1237662301914923465,0.77
SDSS J082122.54+205437.9,1237664835925442693,0.57
SDSS J235229.82+144000.7,1237656241708138749,0.55
SDSS J153507.84+220945.2,1237665535465095478,0.83
SDSS J013840.65-000933.7,1237666407916372030,0.7
SDSS J001025.49+141723.0,1237656494577877145,0.6
SDSS J093709.94+230034.1,1237667253462827018,0.55
SDSS J080451.19+355043.3,1237657595685830954,0.75
SDSS J150440.07+160901.8,1237668272982196384,0.67
SDSS J151947.91+134110.1,1237668310014492789,0.84
SDSS J114558.96+013517.7,1237671142018580703,0.71
SDSS J144818.41+135829.9,1237668332028756168,0.77
SDSS J112606.64+162334.0,1237668494706278547,0.74
SDSS J121538.23+165009.0,1237668589185728620,0.78
SDSS J124159.06-011044.4,1237671267106750657,0.76
SDSS J141420.82+272804.3,1237665442596782260,0.65
SDSS J154711.02+420323.5,1237659120404267024,0.8
SDSS J122328.43+305904.0,1237667212677218496,0.77
SDSS J111037.80+284554.8,1237667254009200669,0.71
SDSS J142430.49+570815.6,1237659146706681899,0.69
SDSS J085620.37+621624.1,1237663916271468679,0.58
SDSS J082033.24+200642.9,1237664835388309809,0.76
SDSS J092253.82+291944.4,1237664837006262458,0.5
SDSS J115452.21+353614.3,1237665025976565891,0.65
SDSS J093656.31+283554.0,1237665129065480388,0.75
SDSS J213353.58-071046.8,1237652600102977894,0.77
SDSS J160055.31+124049.3,1237668365851230239,0.67
SDSS J094750.51+393202.3,1237660963480207522,0.52
SDSS J105057.53+091554.6,1237671931208532268,0.8
SDSS J115458.04+043938.0,1237674598923370579,0.59
SDSS J130713.20+280249.0,1237667324335292539,0.58
SDSS J104345.01+233915.8,1237667538548818009,0.78
SDSS J021803.84-082705.4,1237670956792610923,0.83
SDSS J112048.43+003450.0,1237674650998145185,0.7
SDSS J224514.31-080326.2,1237680240905420938,0.53
SDSS J093844.50+344336.3,1237661137956503657,0.8
SDSS J093847.24+345501.5,1237661137956503701,0.57
SDSS J111526.75-001519.6,1237674649923813591,0.73
SDSS J015245.80-080616.8,1237679437737754841,0.51
SDSS J021534.36-090537.0,1237652900225875993,0.63
SDSS J023802.62-080417.8,1237652900765237281,0.61
SDSS J085031.84+460948.6,1237655107826548872,0.77
SDSS J084756.37+404954.7,1237657118411980970,0.71
SDSS J121252.89+530239.5,1237657630065623171,0.82
SDSS J115311.61+530814.0,1237657857683226740,0.77
SDSS J131731.01-005413.6,1237648720165470336,0.58
SDSS J085705.65+400049.3,1237657775542698092,0.72
SDSS J154245.58+413545.4,1237659131678752901,0.63
SDSS J091057.93+354800.6,1237660634914422940,0.76
SDSS J085704.06+360206.8,1237660637060923409,0.8
SDSS J130241.92+032114.2,1237651755090903183,0.68
SDSS J090211.33+032944.1,1237654605851853112,0.79
SDSS J120734.79+602602.3,1237655108914184208,0.82
SDSS J094146.38+465825.8,1237657241898319966,0.57
SDSS J094918.69+064421.9,1237658424622055568,0.69
SDSS J111604.13+100945.1,1237658493348347961,0.65
SDSS J080603.53+455052.1,1237651271883686089,0.51
SDSS J093552.51+040100.5,1237654605855588469,0.81
SDSS J162645.15+494240.5,1237654954275635399,0.81
SDSS J162643.46+435323.5,1237655474503549028,0.84
SDSS J112415.96+514016.9,1237657856607518816,0.83
SDSS J141854.32+455730.0,1237658204520317100,0.71
SDSS J130832.11+590700.5,1237655107843784877,0.82
SDSS J121318.39+473825.8,1237661357543915610,0.72
SDSS J085340.72+013348.6,1237651753989964118,0.83
SDSS J230010.87-095307.7,1237652599038673000,0.79
SDSS J144233.56+611038.3,1237654641284087959,0.65
SDSS J142250.84+043957.0,1237654880737362110,0.58
SDSS J111859.64+613538.1,1237655369821782095,0.64
SDSS J144118.80+494252.2,1237659132746596476,0.79
SDSS J080710.28+242321.2,1237660764833710384,0.63
SDSS J164704.59+304639.0,1237661386546806925,0.5
SDSS J154327.83+511852.9,1237655465392013480,0.73
SDSS J141632.04-011055.7,1237655693547339997,0.76
SDSS J105505.92+493625.7,1237657855531548794,0.8
SDSS J081825.78+295734.3,1237658191610183938,0.73
SDSS J073952.17+294413.2,1237657609103802583,0.59
SDSS J095952.32+375431.2,1237661384384839911,0.81
