SDSS_name,objID,L_pred
SDSS J141459.59+303633.0,1237665101137117304,0.97
SDSS J151530.74+252720.4,1237665126950305934,0.99
SDSS J094549.95+282822.8,1237665127992525016,0.97
SDSS J134248.21+301226.4,1237665226239508713,0.97
SDSS J120704.18+332258.1,1237665331461816489,0.96
SDSS J125059.52+474017.5,1237661362368806921,0.95
SDSS J142859.59+231129.4,1237665531176419368,0.99
SDSS J020652.79-003105.1,1237666407382581331,0.99
SDSS J081117.06+165621.9,1237667142859293098,0.92
SDSS J092707.60+225912.3,1237667211586044040,0.88
SDSS J134245.98+201350.0,1237667733980446922,0.95
SDSS J114331.09+230041.1,1237667736115806290,0.99
SDSS J145333.57+180551.7,1237667782850576702,0.96
SDSS J153840.41+410018.7,1237662302978769031,0.9
SDSS J164010.70+260608.5,1237662337870397447,0.99
SDSS J143814.55+113345.0,1237662635829690522,0.98
SDSS J164014.64+230118.3,1237662667501076831,0.96
SDSS J012015.34-002009.0,1237663783669334090,0.98
SDSS J003828.12+000720.8,1237663784201617602,0.92
SDSS J154711.32+002424.8,1237648721792467178,0.91
SDSS J123304.40+160703.1,1237664292077305999,0.99
SDSS J075923.59+162516.7,1237664834848686427,0.99
SDSS J153835.32+261318.2,1237664853115208064,0.9
SDSS J151324.08+265356.2,1237665102216691879,0.97
SDSS J122019.41+324849.0,1237665227305451703,0.89
SDSS J133414.93+312530.0,1237665227312333024,0.92
SDSS J101510.90+285053.7,1237665369038520436,0.89
SDSS J155735.21+180141.4,1237665533333209139,0.96
SDSS J145952.15+205711.0,1237665567685017651,0.9
SDSS J031535.15-010058.6,1237666299481227537,0.85
SDSS J004146.11+011037.4,1237666340796891301,0.96
SDSS J080249.63+154829.7,1237667142858309754,0.98
SDSS J085113.98+214257.0,1237667142863945930,0.97
SDSS J123813.27+285613.2,1237667252943847532,0.95
SDSS J031653.94-081024.3,1237649961381003361,0.91
SDSS J104312.48+213925.3,1237667783898693793,0.93
SDSS J023637.79+010623.6,1237678437016141844,0.94
SDSS J081348.74+413858.1,1237673704507179314,0.97
SDSS J165422.06+300937.4,1237661387621204061,0.94
SDSS J163227.72+271642.3,1237661465455165491,0.94
SDSS J130420.69+450323.9,1237661873480728609,0.99
SDSS J131344.98+065122.1,1237661974942449754,0.85
SDSS J110145.17+382747.6,1237662225134583818,0.87
SDSS J134116.97+134631.6,1237662529525514330,0.88
SDSS J151144.00+121402.2,1237662638517518568,0.85
SDSS J155852.06+260808.1,1237662663216857399,0.97
SDSS J013301.98-004123.4,1237663783133839403,0.94
SDSS J004037.85-001950.4,1237663783664943262,0.98
SDSS J100708.05+345920.1,1237664668433907879,0.96
SDSS J092455.64+555348.1,1237651249878401048,0.95
SDSS J090958.60+270011.1,1237664835930947809,0.9
SDSS J121405.59+343134.4,1237665024367657033,0.95
SDSS J135609.00+294016.3,1237665226240753841,0.92
SDSS J162122.07+404837.9,1237665355622383918,0.96
SDSS J094754.95+272236.9,1237665369572704327,0.96
SDSS J155659.12+183838.0,1237665442070921230,0.93
SDSS J082414.30+171955.0,1237667107426402363,0.94
SDSS J125103.58+272211.8,1237667323260043393,0.9
SDSS J082411.59+120656.6,1237667782809878711,0.98
SDSS J131350.78+231518.0,1237667910061785249,0.94
SDSS J143032.55+140127.8,1237668348674048008,0.99
SDSS J140838.03+154209.7,1237668349745365176,0.91
SDSS J100241.15+143710.8,1237671124304330892,0.98
SDSS J115230.56+453937.1,1237661874012094615,0.95
SDSS J132830.41+130628.1,1237661951335596204,0.88
SDSS J140633.84+483836.0,1237661957760876659,0.95
SDSS J131243.31+412710.2,1237661966897578043,0.9
SDSS J122413.92+075710.8,1237661972259733658,0.99
SDSS J111133.54+382320.9,1237662224598564928,0.96
SDSS J223231.77-100735.7,1237652611372810309,0.96
SDSS J154650.24+390009.7,1237662500004823198,0.99
SDSS J163612.93+203916.2,1237662663221313946,0.98
SDSS J074112.94+474017.5,1237663787953029545,0.98
SDSS J101823.53+131642.1,1237664106317545522,0.98
SDSS J125545.60+361736.3,1237664817680744513,0.98
SDSS J145657.57+312922.3,1237664854184362185,0.98
SDSS J123208.16+345310.4,1237665024906166385,0.9
SDSS J142409.23+274240.3,1237665178448166926,0.99
SDSS J145436.71+221032.6,1237665549430161605,0.98
SDSS J120701.16+254313.7,1237667448339169402,0.99
SDSS J104559.59+224914.4,1237667537475207294,0.86
SDSS J093952.14+165504.5,1237667781744394472,0.96
SDSS J033934.89-060219.9,1237652901308793003,0.98
SDSS J135855.46+153808.7,1237668349207445599,0.99
SDSS J113648.95-021447.4,1237671142016614593,0.96
SDSS J102143.80+145439.2,1237671260671377540,0.98
SDSS J150447.23+081016.2,1237662264321638772,0.86
SDSS J033833.01-052802.0,1237652901845598266,0.97
SDSS J135147.20+505841.9,1237662302969593970,0.92
SDSS J141936.98+381403.3,1237662306189508768,0.92
SDSS J155057.82+340606.9,1237662337327693895,0.89
SDSS J141739.64+125732.9,1237662636901138665,0.88
SDSS J163047.11+202119.7,1237662662147244064,0.96
SDSS J081926.38+540318.3,1237663530796581080,0.97
SDSS J073945.27+484431.1,1237663789027164433,0.98
SDSS J035430.43-050559.9,1237652901847367694,0.91
SDSS J115847.09+154258.6,1237664291536830507,0.95
SDSS J124342.32+405758.3,1237664296366047574,0.89
SDSS J123046.20+365843.3,1237664818215387247,0.97
SDSS J100403.74+310234.8,1237664869753487485,0.89
SDSS J112532.20+352146.2,1237665026510880852,0.98
SDSS J103913.13+310650.4,1237665126923960437,0.88
SDSS J112529.24+321441.9,1237665330921078958,0.99
SDSS J154957.34+204818.7,1237665372795502619,0.89
SDSS J151100.89+233633.3,1237665442602614810,0.99
SDSS J132631.39+265053.9,1237665532243804255,0.98
SDSS J154732.29+214226.8,1237665536540082469,0.98
SDSS J160622.82+194640.6,1237665536542179835,0.99
SDSS J101917.59+044547.0,1237654602102407287,0.96
SDSS J105533.73+270453.5,1237667209984344182,0.96
SDSS J115845.66+272708.7,1237667323254931594,0.95
SDSS J130033.66+273815.8,1237667323797831683,0.93
SDSS J112609.88+264538.7,1237667430106464453,0.98
SDSS J124156.26+265817.0,1237667442436341923,0.97
SDSS J112911.09+221741.3,1237667735577493555,0.96
SDSS J131305.86+224008.4,1237667736124850252,0.97
SDSS J142038.02+202641.6,1237667736131797051,0.95
SDSS J160513.08+302759.7,1237661463841669377,0.99
SDSS J141934.02+402010.3,1237661850405437620,0.97
SDSS J154832.60+083516.4,1237661950813929492,0.9
SDSS J135943.14+402312.0,1237662195608453157,0.95
SDSS J094227.20+032049.6,1237654604782502118,0.98
SDSS J135109.16+082852.9,1237662262703095941,0.97
SDSS J152033.65+075712.1,1237662264860213600,0.91
SDSS J125203.52+514048.1,1237662301354917944,0.99
SDSS J141231.71+131817.0,1237662530065727504,0.96
SDSS J224645.65+003828.0,1237663544224841930,0.94
SDSS J084510.23+255741.7,1237664092899705045,0.98
SDSS J084306.64+264821.1,1237664093973512230,0.92
SDSS J104306.55+351917.9,1237664819279626352,0.96
SDSS J153402.18+272026.7,1237664853651489069,0.98
SDSS J113112.50+341210.9,1237665024900661393,0.99
SDSS J154543.12+225243.1,1237665101683490854,0.99
SDSS J160512.87+203232.6,1237665101685719092,0.99
SDSS J154833.82+225820.3,1237665128027521195,0.98
SDSS J130755.34+345510.0,1237665129085141019,0.99
SDSS J143900.01+304850.4,1237665129630531671,0.95
SDSS J171224.85+352643.8,1237654953745973741,0.93
SDSS J131947.66+304934.6,1237665329321082896,0.86
SDSS J104300.39+290604.4,1237665367430529114,0.98
SDSS J160116.33+174040.1,1237665428108607677,0.98
SDSS J131047.64+294235.6,1237665429164589223,0.98
SDSS J135939.34+280340.3,1237665429169307667,0.99
SDSS J145005.23+213227.6,1237665567683969107,0.94
SDSS J022938.60+002313.5,1237666408458813654,0.98
SDSS J100302.19+393939.1,1237660773419581542,0.96
SDSS J095603.97+102955.8,1237661065489809425,0.96
SDSS J114152.18+023455.1,1237651754008313972,0.99
SDSS J093738.57+351342.3,1237661138493374514,0.99
SDSS J154925.25+425753.6,1237661386539466940,0.91
SDSS J170109.89+204023.9,1237661464922358378,0.97
SDSS J124317.30+111241.5,1237661815485825096,0.97
SDSS J171307.74+293006.5,1237655374653096326,0.95
SDSS J101855.63+403646.5,1237661850922713103,0.98
SDSS J150013.69+095615.9,1237661950271815836,0.95
SDSS J104828.12+381738.5,1237662225670340756,0.99
SDSS J141930.19+072721.1,1237662262169305385,0.92
