SDSS_name,objID,S_pred
SDSS J132013.19+331927.5,1237665127475708097,0.89
SDSS J131958.89+292538.7,1237665429165441133,0.92
SDSS J090842.74+174226.4,1237667486455693507,0.96
SDSS J121422.62+221112.7,1237667782297321518,0.99
SDSS J142912.16+125139.2,1237662530067497067,0.96
SDSS J090529.50+281005.3,1237664092365062336,0.94
SDSS J155706.13+200311.3,1237665372796289066,0.99
SDSS J125519.99+275200.0,1237667444048265310,0.95
SDSS J104250.28+240354.2,1237667539085623427,0.94
SDSS J225426.53+011307.9,1237678617410666666,0.98
SDSS J110112.61+164327.3,1237668495777398919,0.97
SDSS J212718.34+043321.7,1237669696756187675,0.97
SDSS J085737.86+122946.9,1237671262809882894,0.97
SDSS J110118.16+091712.0,1237671931209646193,0.97
SDSS J123652.95+400754.6,1237662225142644827,0.89
SDSS J165421.90+255217.8,1237662302451400908,0.9
SDSS J152712.65+283657.0,1237664854187508063,0.86
SDSS J153437.48+204409.7,1237665428642398311,0.96
SDSS J170008.88+410139.3,1237665569297596730,0.95
SDSS J082300.06+170544.3,1237667107426206046,0.88
SDSS J165139.23+235820.2,1237661465994396132,0.97
SDSS J125839.78+525849.5,1237661959903314071,0.92
SDSS J104908.91+405851.0,1237662195592855756,0.87
SDSS J105313.52+371745.0,1237662224059990124,0.86
SDSS J151010.97+073744.2,1237662238021714231,0.98
SDSS J145001.97+105954.6,1237662635831001282,0.95
SDSS J151053.64+205601.7,1237665549431930896,0.98
SDSS J133538.02+061136.4,1237671958053781518,0.95
SDSS J163049.46+292401.6,1237662300838101102,0.98
SDSS J090804.98+271459.6,1237664836467752982,0.98
SDSS J144420.85+283303.5,1237665101140066353,0.9
SDSS J163224.47+133354.5,1237665532263596750,0.86
SDSS J110728.74+034808.4,1237654604254937251,0.93
SDSS J115131.28+235146.2,1237667549276602499,0.97
SDSS J115223.51+035827.8,1237654604259852404,0.94
SDSS J122323.84+151018.7,1237662525766238308,0.99
SDSS J104311.02+371623.1,1237664668437250202,0.95
SDSS J150032.18+271323.2,1237665101141770350,0.86
SDSS J150653.77+245526.2,1237665178989363322,0.93
SDSS J144013.65+195603.1,1237665564998828265,0.97
SDSS J143854.74+214118.8,1237665567145984250,0.96
SDSS J084206.24+304912.1,1237660765374972132,0.96
SDSS J074824.16+221303.7,1237660959178621012,0.95
SDSS J082655.84+072501.1,1237661066016915612,0.98
SDSS J140132.10+043656.5,1237655125557444737,0.95
SDSS J105435.07+110046.6,1237661811728842840,0.95
SDSS J121049.28+443045.3,1237661850394951799,1.0
SDSS J001509.48-002159.5,1237663783662190703,0.86
SDSS J081522.30+224345.5,1237664093970235666,0.95
SDSS J121053.16+363244.8,1237664817676746832,0.97
SDSS J154928.18+210202.8,1237665536003539286,0.86
SDSS J083255.85+200426.6,1237667143398785335,0.95
SDSS J113903.77+262142.2,1237667322179223615,0.96
SDSS J114936.69+202359.6,1237668294450151456,0.9
SDSS J121036.67+190058.2,1237667914345611509,0.92
SDSS J120432.51+201217.7,1237667915955634275,0.96
SDSS J083103.48+394919.7,1237657607499546980,0.87
SDSS J114603.06+192613.1,1237668293376016565,0.96
SDSS J140828.00+155515.3,1237668332561367209,0.96
SDSS J113350.44+200135.9,1237667915952488471,0.88
SDSS J152328.68+140826.2,1237668271910551868,0.96
SDSS J140736.97+160121.3,1237668315384709258,0.86
SDSS J013627.63-092843.0,1237670956251218098,0.96
SDSS J210915.57+003124.4,1237678617399132368,0.98
SDSS J124505.25+122646.9,1237661817096568982,0.97
SDSS J121203.17+145416.3,1237664290464465055,0.86
SDSS J160614.26+182452.0,1237665372260598068,0.92
SDSS J135556.15+245703.7,1237665531173011478,0.9
SDSS J011508.33+145403.4,1237666088978022510,0.87
SDSS J093832.07+235327.3,1237667211587289212,0.99
SDSS J104758.15+251004.1,1237667429565792368,0.99
SDSS J121202.59+221636.8,1237667735044948035,0.96
SDSS J102310.57+133245.8,1237664106318004547,0.96
SDSS J160540.68+154717.0,1237665567692226996,0.9
SDSS J095928.28+210828.5,1237667542290530484,0.89
SDSS J080327.64+094235.8,1237667730193580632,0.88
SDSS J094355.41+145028.5,1237668288005865637,0.95
SDSS J140450.23+161654.0,1237668350281777402,0.99
SDSS J222603.42+011216.7,1237678595932684672,0.99
SDSS J032219.88+410853.0,1237661059574596006,0.95
SDSS J113115.42+205635.7,1237667781219188826,0.98
SDSS J114515.67+192331.5,1237668293375951157,0.95
SDSS J222047.32+141404.4,1237680090574684306,0.9
SDSS J120823.04+171948.9,1237668624084959380,0.88
SDSS J085031.69+001908.6,1237648721746854319,0.98
SDSS J165452.98+411213.7,1237651714801205596,0.97
SDSS J094535.51+571424.3,1237653614260846619,0.95
SDSS J081027.81+415658.8,1237654386803474701,0.87
SDSS J122805.20-013929.3,1237650371558768769,0.98
SDSS J082900.52+390113.5,1237657606962282856,0.97
SDSS J113850.20+573022.8,1237657612338724979,0.93
SDSS J094347.47+002755.0,1237650796756795418,0.86
SDSS J105812.25+073418.0,1237658300073574514,0.92
SDSS J105750.72+080238.1,1237658300610379969,0.97
SDSS J100557.07+551542.3,1237658303276646520,0.98
SDSS J132007.68+013301.2,1237651735228842040,0.91
SDSS J103350.73+450635.0,1237660636532965479,0.94
SDSS J093245.32+333821.8,1237661137418911882,0.95
SDSS J131057.21+495135.1,1237661151915868250,0.91
SDSS J083024.89+514212.2,1237651495224475805,0.95
SDSS J120911.48+024332.1,1237651736831721576,0.85
SDSS J112626.09+025557.8,1237651754543546529,0.96
SDSS J123356.43+593429.9,1237655107841884268,0.98
SDSS J090720.92+402706.0,1237657774469808250,0.86
SDSS J104516.11+495247.5,1237657856604700755,0.98
SDSS J142505.41+454729.0,1237658205057646794,0.94
SDSS J091058.79+075218.8,1237658493871652949,0.96
SDSS J101421.56+383303.7,1237661383849279613,0.98
SDSS J143103.01+535818.3,1237661418750542003,0.96
SDSS J160130.42-001712.4,1237648704065175831,0.98
SDSS J092209.74-003222.4,1237648720676585591,0.92
SDSS J120733.37+640100.8,1237651065205096547,0.98
SDSS J161314.88+485137.1,1237651251513852008,0.99
SDSS J093249.25+622012.3,1237651540315013214,0.95
SDSS J094913.51+011039.9,1237651752922251498,0.85
SDSS J033857.32-000222.4,1237657586030346269,0.91
SDSS J105609.61+472332.9,1237658611979321443,0.96
SDSS J031913.08+005724.7,1237660241924194512,0.89
SDSS J131256.05+005628.2,1237648705657307354,0.9
SDSS J231326.87+151236.3,1237652944244113687,0.88
SDSS J142056.54+035217.4,1237654879663423588,0.98
SDSS J150054.67+554543.9,1237655464851800157,0.97
SDSS J205641.65-004906.1,1237656567575937452,0.98
SDSS J121319.98+505902.6,1237658614132506683,0.95
SDSS J162200.19+402652.3,1237659325491838985,0.95
SDSS J094458.28+385711.3,1237660765918527602,0.97
SDSS J150058.90+502737.9,1237661387608359085,0.96
SDSS J153111.22+465756.0,1237661387611046021,0.95
SDSS J230931.06+150025.1,1237652944243720398,0.99
SDSS J140525.26-004840.8,1237648703515590916,0.98
SDSS J104804.38+652404.7,1237651272433336485,0.96
SDSS J075647.50+455316.2,1237651496831615081,0.87
SDSS J114722.90+601801.6,1237655108913070115,0.96
SDSS J103027.55+573919.8,1237658304352157807,0.9
SDSS J113223.25+545858.7,1237658802571903121,0.88
SDSS J145426.63+531302.8,1237659149385924732,0.96
SDSS J110436.95+450730.7,1237661356464865320,0.89
SDSS J030817.66-080458.1,1237649961916956774,0.92
SDSS J102043.33+651019.4,1237651273505898538,0.99
SDSS J111112.52+030434.3,1237654030863827099,0.93
SDSS J091912.27+485804.0,1237657634872098922,0.95
SDSS J121613.82+595841.8,1237658311867105314,0.87
SDSS J122000.88+560704.2,1237657591934025805,0.94
SDSS J112202.09+082337.8,1237658425169018993,0.91
SDSS J160154.13-011309.2,1237648702991434184,0.88
SDSS J160002.09+024348.0,1237654880211108224,0.97
SDSS J162736.93+404015.8,1237655373036126419,0.97
SDSS J000007.82-000226.0,1237657190905217208,0.96
SDSS J082825.87+250052.6,1237661085883695378,0.9
SDSS J124222.54+481955.2,1237661358619754625,0.9
SDSS J134439.91+555938.2,1237661387602788576,0.88
SDSS J163603.51+454447.5,1237651714261844256,0.99
SDSS J114829.71+051328.5,1237654605870071985,0.93
SDSS J151558.48+035957.0,1237654880743129447,0.95
SDSS J112450.83+600759.7,1237655109448695862,0.97
SDSS J215224.51+123851.2,1237656496173810224,0.98
SDSS J120129.26+111206.9,1237661811199115391,0.97
SDSS J095145.09+031620.6,1237654600488714489,0.93
SDSS J140250.69+053816.2,1237661970122997917,0.97
SDSS J161217.01+360444.5,1237662303519179013,0.94
SDSS J083812.04+544532.3,1237651273498755222,0.87
SDSS J162059.45+512751.4,1237651539800358951,0.93
SDSS J041641.07+270514.3,1237660555449598250,0.96
SDSS J121110.69+572819.0,1237657611803754643,0.99
SDSS J110131.33+075622.0,1237658300610773148,0.9
SDSS J104549.34+435410.1,1237661355926487130,0.97
SDSS J080619.67+060014.9,1237661065477751105,0.98
SDSS J123055.06+032930.7,1237651755087429961,0.87
SDSS J104807.50+001001.6,1237654670277738693,0.91
SDSS J123055.30+090903.9,1237658491745796302,0.98
SDSS J110229.32+092849.0,1237658492810035328,0.95
SDSS J083358.69+260624.4,1237661124539384041,0.96
SDSS J124830.73+504954.7,1237661152451166321,0.95
SDSS J003546.60+135248.1,1237649918426284130,0.93
SDSS J112845.84+583536.5,1237655107301343380,0.9
SDSS J091129.96+452805.8,1237657606429868175,0.88
SDSS J145558.35+490607.6,1237659120936157214,0.95
SDSS J121227.96+390639.3,1237664667371241537,0.89
SDSS J100807.13+301942.5,1237664869217075255,0.93
SDSS J133329.90+403146.8,1237662193995743306,0.86
SDSS J151619.14+070944.4,1237662237485564192,0.93
SDSS J165220.04+235437.0,1237662503764034063,0.98
SDSS J154951.84+304150.9,1237662640655892761,0.87
SDSS J111133.86+025727.3,1237651754541908172,0.97
SDSS J104030.69+355326.9,1237664339320897708,0.95
SDSS J114533.81+343408.1,1237665024901972003,0.97
SDSS J075617.10+143609.6,1237667108496933522,0.94
SDSS J121322.18+283039.5,1237667324330115100,0.89
SDSS J105334.89+233534.4,1237667538012930119,0.92
SDSS J083513.68+475344.6,1237654391644618779,0.98
SDSS J091316.35+312130.4,1237661382232375408,0.86
SDSS J160129.05+224745.3,1237662696501412259,0.85
SDSS J094657.98+115213.8,1237664131548774545,0.89
SDSS J125509.24+391211.2,1237664294219612195,0.93
SDSS J093626.20+314814.5,1237664667893956667,0.99
SDSS J093630.99+271227.7,1237665127454605553,0.85
SDSS J142522.80+262755.3,1237665429171863779,0.93
SDSS J125856.09+282749.0,1237665440442024035,0.87
SDSS J134835.09+253949.2,1237665531709096230,0.98
SDSS J105306.02+283412.0,1237667254544367748,0.98
SDSS J113037.58+034523.8,1237655123930316917,0.98
SDSS J104347.40+103230.4,1237661948633612331,0.94
SDSS J144913.78+094226.4,1237662198818144438,0.99
SDSS J134234.82+600742.6,1237655463773143164,0.97
SDSS J122932.79+111255.9,1237662239078088786,0.88
SDSS J013927.34+000219.5,1237663784208302210,0.9
SDSS J103349.98+125242.0,1237664131016949874,0.92
SDSS J121254.41+313052.3,1237665225694183554,0.92
SDSS J155833.95+201106.4,1237665536004522072,0.85
SDSS J111308.07+275859.9,1237667252935655539,0.95
SDSS J102518.70+280320.3,1237667255615488070,0.98
SDSS J131052.53+245155.3,1237667447808655501,0.86
SDSS J142637.19+112413.5,1237661950805016790,0.97
SDSS J120245.62+390546.5,1237662224066019420,0.87
SDSS J142437.52+345059.2,1237662224078536849,0.96
SDSS J161849.84+222719.1,1237662224627532173,0.92
SDSS J151116.96+043834.4,1237662266463486174,0.98
SDSS J094704.10+123327.1,1237664106851008688,0.95
SDSS J133402.76+143614.8,1237664291009986867,0.92
SDSS J135323.67+230255.3,1237665566067589284,0.95
SDSS J105500.65+293235.8,1237667255618371751,0.96
SDSS J143442.17+094927.0,1237661949195321652,0.95
SDSS J145057.54+063600.1,1237662268608676033,0.89
SDSS J011456.26+000750.4,1237663784205615158,0.85
SDSS J145058.17+160622.8,1237668298219847857,0.94
SDSS J130052.56+403504.4,1237662226218352719,0.97
SDSS J011057.41+003803.2,1237663204921901182,0.98
SDSS J092759.45+261928.1,1237665127453687922,0.98
SDSS J151008.79+460616.8,1237659119327117329,0.92
SDSS J111607.23+314303.0,1237665369044418636,0.85
SDSS J161555.31+151745.5,1237665532261695757,0.95
SDSS J144345.97+233230.2,1237665532788408550,0.9
SDSS J162736.85+134706.4,1237665549440516177,0.89
SDSS J144345.20+181218.9,1237667782312722511,0.89
SDSS J145346.79+185735.7,1237667783924252863,0.97
SDSS J153626.77+475117.3,1237659324950118490,0.96
SDSS J104124.18+130934.6,1237664131017736382,0.99
SDSS J163501.14+130646.2,1237665440464961840,0.98
SDSS J162453.30+182313.8,1237665537617953014,0.85
SDSS J094803.02+213751.9,1237667292118974689,0.99
SDSS J094759.57+215709.9,1237667292655910960,0.86
SDSS J125651.17+265355.9,1237667322723696789,0.98
SDSS J093731.01+193521.7,1237667538005000329,0.98
SDSS J121456.83+235206.6,1237667910055886902,0.9
SDSS J095713.70+410616.4,1237660343401119920,0.97
SDSS J155534.07+423646.9,1237661387076796545,0.89
SDSS J144153.00+104454.9,1237662199891034282,0.97
SDSS J155012.01+355836.8,1237662474228203824,0.95
SDSS J125913.12+355119.2,1237664671641960557,0.94
SDSS J160640.88+171130.4,1237665533334257819,0.93
SDSS J130528.82+400646.9,1237664295831011627,0.96
SDSS J153825.24+241641.2,1237665102219444340,0.99
SDSS J163647.05+254827.0,1237661464919015915,0.97
SDSS J123511.78+340719.9,1237665127471579205,0.92
SDSS J084610.13+192113.9,1237667254531129554,0.89
SDSS J114414.45+304615.8,1237667255623090335,0.98
SDSS J122955.01+310414.0,1237667255627350101,0.97
SDSS J122350.58+281158.1,1237667444045185045,0.85
SDSS J132804.05+215416.6,1237667735589486728,0.91
SDSS J114417.20+201323.9,1237668294449627155,0.91
SDSS J135417.62+192518.6,1237668299287560293,0.98
SDSS J214033.78+045357.1,1237669696757694787,0.94
SDSS J014308.10-085928.9,1237670956788809902,0.92
SDSS J090140.93+110458.6,1237671260662661265,0.93
SDSS J103702.71+623131.5,1237651250957058230,0.98
SDSS J132725.84+115048.7,1237671992947310615,0.9
SDSS J134738.44+032002.8,1237674602676289826,0.99
SDSS J230242.70+201916.9,1237680270967701780,0.98
SDSS J113923.10+662114.3,1237651271898759321,0.96
SDSS J121317.80+213915.6,1237667781760319656,0.91
SDSS J115905.46+245920.2,1237667911664926765,0.99
SDSS J144322.25+010553.2,1237651735237951758,0.93
SDSS J133742.11+032821.1,1237671991340499075,0.88
SDSS J231004.72+301327.4,1237680472834048073,0.97
SDSS J104351.09+212806.0,1237667736109711512,0.92
SDSS J150530.60+030514.6,1237651821640220816,0.98
SDSS J113523.13+201842.5,1237667916489490658,0.91
SDSS J153639.35+032137.2,1237651822717305106,0.86
SDSS J085624.09+131056.1,1237670596015751434,0.86
SDSS J103737.70+255658.0,1237667431175487616,0.96
SDSS J092207.67+182002.8,1237667485920198874,0.93
SDSS J102422.21+142937.0,1237671260134703197,0.88
SDSS J120551.26+242120.5,1237667446728425596,0.97
SDSS J122045.05+222214.4,1237667735045800111,0.91
SDSS J114505.89+202616.4,1237667916490539153,0.98
SDSS J120550.07+202837.1,1237668298739548224,0.92
SDSS J120248.44+204852.7,1237668299276091481,0.94
SDSS J160414.56+111213.1,1237668310556213456,0.87
SDSS J140647.05+150229.2,1237668348671492256,0.99
SDSS J161625.06+271446.1,1237662620263579953,1.0
SDSS J235706.40+295020.8,1237663233378025755,0.95
SDSS J121953.70+392759.4,1237664667908702348,0.88
SDSS J110229.60+384311.8,1237664668975890643,0.97
SDSS J083401.42+221215.9,1237664835389948124,0.99
SDSS J130821.63+291342.3,1237665441516617769,0.98
SDSS J142805.10+254949.6,1237665441524482313,0.94
SDSS J151303.16+220233.4,1237665533328294108,0.96
SDSS J011002.51+133850.8,1237666215143342135,0.98
SDSS J075654.19+143827.8,1237667255599300794,0.99
SDSS J135813.12+173151.8,1237668297140600860,0.85
SDSS J111533.29+172944.1,1237668586506616882,0.9
SDSS J083408.75+115916.3,1237670965917385030,0.98
SDSS J215953.37+133447.4,1237678600218738998,0.97
SDSS J091106.11+130717.8,1237671125372567599,0.92
SDSS J220638.21+113801.1,1237652942089421098,0.87
SDSS J075322.75+361627.7,1237654654171152624,0.97
SDSS J143052.86+031608.2,1237654879127666791,0.94
SDSS J095228.10+424908.8,1237657873257922697,0.97
SDSS J154903.97+023142.1,1237655470213366069,0.92
SDSS J082201.90+042333.2,1237658300056535508,0.88
SDSS J125306.66+095537.2,1237658492821962882,0.86
SDSS J102733.39+095413.6,1237660585520070729,0.94
SDSS J164106.56+460014.6,1237651715335716958,0.91
SDSS J103430.55+034445.7,1237654600493432923,0.85
SDSS J112524.81+045447.8,1237655125540405323,0.98
SDSS J103429.71+594705.3,1237655369819291682,0.87
SDSS J103845.44+523921.6,1237657590853664952,0.97
SDSS J114807.65+550118.9,1237657590858252461,0.97
SDSS J113132.80+495127.0,1237658613592686691,0.86
SDSS J122153.55+510233.1,1237661152449331281,0.94
SDSS J120844.22-003227.0,1237648720694804620,0.87
SDSS J005450.89+151641.2,1237649920575799438,0.96
SDSS J100932.57-001414.5,1237651800698257716,0.92
SDSS J213337.41-070938.2,1237652600102977795,0.9
SDSS J111334.94+600730.3,1237658304891715674,0.97
SDSS J232326.69+140753.9,1237652942634549470,0.96
SDSS J143619.10+033734.7,1237654879665127522,0.94
SDSS J163349.61+391547.5,1237655373036912774,0.92
SDSS J083642.60+412820.3,1237657608037269754,0.85
SDSS J121222.64+084636.1,1237658491206959194,0.89
SDSS J110037.27+102613.8,1237658493883580478,0.96
SDSS J120601.58+502953.3,1237658613595111509,0.95
SDSS J101240.74+390615.1,1237660771809624268,0.88
SDSS J212536.30-071838.4,1237652599565254825,0.98
SDSS J005247.40-101200.3,1237652629641101418,0.98
SDSS J103209.61+033304.6,1237654604251070609,0.95
SDSS J125146.18+610813.5,1237655463233519709,0.99
SDSS J235129.12+140406.1,1237656494575911063,0.98
SDSS J143422.06+552128.8,1237659149921222738,0.95
SDSS J172952.39+564934.6,1237659896174018833,0.98
SDSS J033652.63+010153.0,1237660241926160519,0.95
SDSS J092809.10+081412.4,1237661063876051118,0.92
SDSS J161427.78+295825.8,1237661464916197674,0.96
SDSS J114453.56+114459.2,1237661949177036891,0.97
SDSS J080701.66+454229.3,1237651192427905291,0.95
SDSS J170222.42+610959.5,1237651225170870403,0.98
SDSS J113515.94+013819.3,1237651752933851291,0.95
SDSS J112933.31+471250.1,1237660636000420013,0.93
SDSS J002757.59-000340.6,1237657190908297368,0.88
SDSS J090311.17+450231.4,1237657770167828698,0.98
SDSS J130624.52+485744.4,1237658203977941175,0.9
SDSS J133031.70+582032.5,1237658311334494363,0.92
SDSS J122055.09+110031.9,1237658493892231254,0.97
SDSS J154015.94+472545.5,1237659324950446332,0.89
SDSS J090640.15+063344.6,1237660412112470297,0.97
SDSS J140821.55+551805.3,1237661388141166646,0.85
SDSS J110759.60+024314.6,1237654030326563014,0.87
SDSS J074228.98+310555.8,1237654652558180789,0.85
SDSS J101058.46-004813.9,1237654669199933583,0.95
SDSS J160024.08+525358.3,1237654948377329709,0.99
SDSS J114537.84+621413.5,1237655464840724589,0.92
SDSS J095034.06+482906.5,1237657590312992946,0.97
SDSS J091820.49+410154.7,1237657627904376984,0.97
SDSS J102713.35+481441.1,1237657628447473764,0.91
SDSS J121618.74+094449.2,1237658492281094291,0.97
SDSS J110610.46+481604.0,1237658612517044297,0.89
SDSS J115012.48+533957.3,1237658800425468034,0.98
SDSS J110643.94+665109.5,1237651539246055429,0.93
SDSS J112944.39+054817.5,1237655126614605890,0.89
SDSS J133253.11-011531.1,1237655500274860158,0.95
SDSS J143318.50+064549.2,1237655744552829079,0.95
SDSS J230748.86-085700.7,1237656539127939216,0.99
SDSS J075943.03+261114.5,1237658191607693659,0.95
SDSS J142408.69+443343.0,1237658203447230614,0.95
SDSS J172508.37+584552.9,1237659896173101460,0.96
SDSS J090011.05+074333.9,1237660669809197290,0.93
SDSS J084002.36+294902.6,1237660961862189211,0.86
SDSS J100540.38+093512.4,1237661063880179720,0.92
SDSS J121752.43-002143.6,1237648704040665238,0.98
SDSS J131408.61-002627.9,1237651203157721163,0.96
SDSS J085025.48+552322.2,1237651272425734160,0.88
SDSS J073213.99+380848.6,1237651496827682897,0.99
SDSS J230911.62+132710.9,1237652942096171223,0.86
SDSS J131408.25+621233.9,1237655370364551289,0.89
SDSS J115644.26+620626.1,1237655464304378007,0.95
