SDSS_name,objID,NL_pred,env_label
SDSS J134554.23+021502.3,1237651736305402018,0.95,F
SDSS J131958.89+292538.7,1237665429165441133,0.93,Sh
SDSS J090842.74+174226.4,1237667486455693507,0.96,C
SDSS J121422.62+221112.7,1237667782297321518,0.99,F
SDSS J170251.86+222324.6,1237662301379363348,0.87,
SDSS J142912.16+125139.2,1237662530067497067,0.98,C
SDSS J090529.50+281005.3,1237664092365062336,0.98,Sh
SDSS J155706.13+200311.3,1237665372796289066,0.99,
SDSS J125519.99+275200.0,1237667444048265310,0.98,C
SDSS J104250.28+240354.2,1237667539085623427,0.94,C
SDSS J225426.53+011307.9,1237678617410666666,0.98,
SDSS J110112.61+164327.3,1237668495777398919,0.98,F
SDSS J085737.86+122946.9,1237671262809882894,0.98,F
SDSS J123652.95+400754.6,1237662225142644827,0.96,Sh
SDSS J084032.73+593920.3,1237663786885775559,0.91,F
SDSS J135547.69+142520.9,1237664291549151477,0.87,Sh
SDSS J152712.65+283657.0,1237664854187508063,0.9,C
SDSS J153437.48+204409.7,1237665428642398311,0.97,C
SDSS J170008.88+410139.3,1237665569297596730,0.94,
SDSS J113645.52+214236.2,1237667734504472861,0.87,F
SDSS J114222.21+160541.1,1237668494171111501,0.92,Sh
SDSS J165139.23+235820.2,1237661465994396132,0.97,
SDSS J125839.78+525849.5,1237661959903314071,0.97,C
SDSS J104908.91+405851.0,1237662195592855756,0.95,F
SDSS J105313.52+371745.0,1237662224059990124,0.86,F
SDSS J161220.36+230007.2,1237662224090005796,0.86,
SDSS J151010.97+073744.2,1237662238021714231,0.99,C
SDSS J154038.86+072615.3,1237662264862441723,0.91,
SDSS J145001.97+105954.6,1237662635831001282,0.96,F
SDSS J151053.64+205601.7,1237665549431930896,0.99,F
SDSS J102145.25+224100.9,1237667538546524347,0.86,C
SDSS J133538.02+061136.4,1237671958053781518,0.99,C
SDSS J133101.60+373346.4,1237664293685886992,0.91,Sh
SDSS J090804.98+271459.6,1237664836467752982,0.99,F
SDSS J144420.85+283303.5,1237665101140066353,0.96,V
SDSS J143027.21+304549.3,1237665102749106308,0.91,Sh
SDSS J163224.47+133354.5,1237665532263596750,0.88,
SDSS J162126.75+142827.0,1237665549439795506,0.89,
SDSS J122902.62+273825.8,1237667323257880747,0.87,F
SDSS J110728.74+034808.4,1237654604254937251,0.88,F
SDSS J115131.28+235146.2,1237667549276602499,0.98,F
SDSS J115223.51+035827.8,1237654604259852404,0.96,V
SDSS J154548.06+301208.7,1237662341084610920,0.93,
SDSS J122323.84+151018.7,1237662525766238308,0.99,F
SDSS J104311.02+371623.1,1237664668437250202,0.98,F
SDSS J150032.18+271323.2,1237665101141770350,0.95,Sh
SDSS J150653.77+245526.2,1237665178989363322,0.93,F
SDSS J144013.65+195603.1,1237665564998828265,0.98,C
SDSS J143854.74+214118.8,1237665567145984250,0.93,F
SDSS J113120.44+281204.4,1237667209987883063,0.86,F
SDSS J084206.24+304912.1,1237660765374972132,0.95,Sh
SDSS J074824.16+221303.7,1237660959178621012,0.97,
SDSS J082655.84+072501.1,1237661066016915612,0.99,Sh
SDSS J105435.07+110046.6,1237661811728842840,0.97,F
SDSS J121049.28+443045.3,1237661850394951799,0.99,F
SDSS J165554.36+245849.0,1237662301914923465,0.94,
SDSS J001509.48-002159.5,1237663783662190703,0.86,
SDSS J155819.59+042705.4,1237655744025264421,0.9,
SDSS J121053.16+363244.8,1237664817676746832,0.94,F
SDSS J082122.54+205437.9,1237664835925442693,0.91,Sh
SDSS J153507.84+220945.2,1237665535465095478,0.97,Sh
SDSS J154928.18+210202.8,1237665536003539286,0.94,
SDSS J113903.77+262142.2,1237667322179223615,0.99,F
SDSS J114936.69+202359.6,1237668294450151456,0.85,Sh
SDSS J121036.67+190058.2,1237667914345611509,0.96,Sh
SDSS J120432.51+201217.7,1237667915955634275,0.98,F
SDSS J083103.48+394919.7,1237657607499546980,0.94,Sh
SDSS J114603.06+192613.1,1237668293376016565,0.98,F
SDSS J140828.00+155515.3,1237668332561367209,0.97,F
SDSS J113350.44+200135.9,1237667915952488471,0.89,F
SDSS J152328.68+140826.2,1237668271910551868,0.98,F
SDSS J140736.97+160121.3,1237668315384709258,0.9,Sh
SDSS J013627.63-092843.0,1237670956251218098,0.98,
SDSS J210915.57+003124.4,1237678617399132368,0.99,
SDSS J124505.25+122646.9,1237661817096568982,0.95,Sh
SDSS J121203.17+145416.3,1237664290464465055,0.95,F
SDSS J110546.24+303137.4,1237665367969628312,0.99,Sh
SDSS J160614.26+182452.0,1237665372260598068,0.97,
SDSS J135556.15+245703.7,1237665531173011478,0.94,C
SDSS J154711.02+420323.5,1237659120404267024,0.89,
SDSS J011508.33+145403.4,1237666088978022510,0.91,
SDSS J093832.07+235327.3,1237667211587289212,0.99,V
SDSS J111037.80+284554.8,1237667254009200669,0.87,F
SDSS J142430.49+570815.6,1237659146706681899,0.88,Sh
SDSS J121202.59+221636.8,1237667735044948035,0.98,Sh
SDSS J102310.57+133245.8,1237664106318004547,0.98,F
SDSS J082033.24+200642.9,1237664835388309809,0.86,Sh
SDSS J160540.68+154717.0,1237665567692226996,0.97,
SDSS J213353.58-071046.8,1237652600102977894,0.9,
SDSS J080327.64+094235.8,1237667730193580632,0.9,
SDSS J140450.23+161654.0,1237668350281777402,0.99,F
SDSS J115458.04+043938.0,1237674598923370579,0.86,Sh
SDSS J222603.42+011216.7,1237678595932684672,0.99,
SDSS J032219.88+410853.0,1237661059574596006,0.97,
SDSS J104345.01+233915.8,1237667538548818009,0.92,F
SDSS J113115.42+205635.7,1237667781219188826,0.99,F
SDSS J114515.67+192331.5,1237668293375951157,0.97,C
SDSS J021803.84-082705.4,1237670956792610923,0.92,
SDSS J222047.32+141404.4,1237680090574684306,0.94,
SDSS J093844.50+344336.3,1237661137956503657,0.94,F
SDSS J093847.24+345501.5,1237661137956503701,0.87,C
SDSS J111526.75-001519.6,1237674649923813591,0.9,
SDSS J085031.69+001908.6,1237648721746854319,0.99,Sh
SDSS J165452.98+411213.7,1237651714801205596,0.99,
SDSS J094535.51+571424.3,1237653614260846619,0.97,F
SDSS J122805.20-013929.3,1237650371558768769,0.99,
SDSS J082900.52+390113.5,1237657606962282856,0.98,F
SDSS J121252.89+530239.5,1237657630065623171,0.94,F
SDSS J094347.47+002755.0,1237650796756795418,0.95,F
SDSS J115311.61+530814.0,1237657857683226740,0.95,F
SDSS J105812.25+073418.0,1237658300073574514,0.95,F
SDSS J105750.72+080238.1,1237658300610379969,0.96,F
SDSS J100557.07+551542.3,1237658303276646520,0.98,F
SDSS J132007.68+013301.2,1237651735228842040,0.95,F
SDSS J093245.32+333821.8,1237661137418911882,0.96,F
SDSS J131057.21+495135.1,1237661151915868250,0.89,Sh
SDSS J083024.89+514212.2,1237651495224475805,0.98,V
SDSS J120911.48+024332.1,1237651736831721576,0.87,V
SDSS J112626.09+025557.8,1237651754543546529,0.97,F
SDSS J123356.43+593429.9,1237655107841884268,0.98,Sh
SDSS J085705.65+400049.3,1237657775542698092,0.86,
SDSS J104516.11+495247.5,1237657856604700755,0.99,F
SDSS J142505.41+454729.0,1237658205057646794,0.92,Sh
SDSS J091058.79+075218.8,1237658493871652949,0.95,Sh
SDSS J143103.01+535818.3,1237661418750542003,0.91,F
SDSS J160130.42-001712.4,1237648704065175831,0.98,
SDSS J092209.74-003222.4,1237648720676585591,0.91,
